# ESPELHO FIPE - AMOSTRA DE DEMONSTRACAO, NAO E A TABELA OFICIAL.
#
# A FIPE nao mantem API publica gratuita e estavel para uso em producao
# (secao 4.5 do spec). Opcoes, em ordem de preferencia:
#   1. contratar um provedor com SLA e configurar RADAR_FIPE_PROVIDER=fipe_api_br;
#   2. hospedar espelho proprio atualizado mensalmente a partir de
#      veiculos.fipe.org.br e carregar com: radar mercado importar-fipe <arquivo.csv>
#
# Enquanto este arquivo de amostra estiver em uso, TODA analise de mercado sai
# com o aviso "valor de referencia de demonstracao" e confianca reduzida, e a UI
# mostra isso ao lado do numero. Nunca apresente estes valores como reais.
codigo_fipe,marca,modelo,ano_modelo,combustivel,valor,mes_referencia
001004-9,FIAT,UNO MILLE ECONOMY 1.0 FIRE FLEX 4P,2015,Flex,24500.00,2026-09
001004-9,FIAT,UNO MILLE ECONOMY 1.0 FIRE FLEX 4P,2014,Flex,22800.00,2026-09
001278-5,FIAT,MOBI LIKE 1.0 FIRE FLEX 5P,2020,Flex,42300.00,2026-09
005340-6,VOLKSWAGEN,GOL 1.0 FLEX 12V 5P,2016,Flex,32100.00,2026-09
005340-6,VOLKSWAGEN,GOL 1.0 FLEX 12V 5P,2019,Flex,44700.00,2026-09
004445-8,CHEVROLET,ONIX 1.0 FLEX 5P,2018,Flex,48900.00,2026-09
021005-0,HONDA,CG 160 FAN,2021,Gasolina,14200.00,2026-09
015112-3,TOYOTA,COROLLA XEI 2.0 FLEX 16V AUT,2019,Flex,98500.00,2026-09
002115-6,FORD,KA SE 1.0 TI-VCT FLEX 5P,2018,Flex,38600.00,2026-09
006099-2,HYUNDAI,HB20 COMFORT 1.0 FLEX 12V,2017,Flex,41200.00,2026-09
